ticker,date,open,high,low,close
YB,2025-04-30,21.66,28.99,15.66,15.96
YB,2025-05-01,15.2,15.85,15.0,15.0
YB,2025-05-02,15.2995,15.4,15.02,15.11
YB,2025-05-05,15.0,15.1277,15.0,15.01
YB,2025-05-06,15.0,15.0161,14.1,14.895
YB,2025-05-07,14.61,15.0858,14.52,14.98
YB,2025-05-08,14.2279,15.2412,14.2279,14.77
YB,2025-05-09,14.64,14.975,14.42,14.56
YB,2025-05-12,14.57,14.84,14.04,14.82
YB,2025-05-13,14.82,14.82,14.169,14.22
YB,2025-05-14,14.58,15.3,14.25,14.81
YB,2025-05-15,14.75,14.98,14.5256,14.66
YB,2025-05-16,14.725,15.19,14.2,14.97
YB,2025-05-19,14.98,15.29,14.6,15.0
YB,2025-05-20,14.7,14.9,14.69,14.89
YB,2025-05-21,14.7,14.82,14.52,14.75
YB,2025-05-22,14.7,14.79,14.4034,14.61
YB,2025-05-23,14.41,14.99,14.38,14.99
YB,2025-05-27,14.74,15.0,14.4611,14.69
YB,2025-05-28,14.89,15.48,14.51,14.51
YB,2025-05-29,14.7,15.2779,14.7,15.27
YB,2025-05-30,14.9031,15.09,14.8,15.07
YB,2025-06-02,14.85,15.16,14.784,15.14
YB,2025-06-03,15.0,15.2,14.91,15.2
YB,2025-06-04,15.19,15.45,15.09,15.45
YB,2025-06-05,16.235,16.235,14.49,15.13
YB,2025-06-06,14.92,15.25,14.92,15.17
YB,2025-06-09,15.33,16.8,14.975,16.78
YB,2025-06-10,15.7,16.22,15.7,15.99
YB,2025-06-11,15.52,15.9,15.5,15.75
YB,2025-06-12,15.81,18.5,15.69,18.22
YB,2025-06-13,18.0,18.16,17.25,17.95
YB,2025-06-16,18.49,20.0,18.49,19.85
YB,2025-06-17,20.0,22.0,19.98,21.34
YB,2025-06-18,21.5,21.99,19.5168,21.72
YB,2025-06-20,21.86,21.9,20.0,20.24
YB,2025-06-23,20.15,21.39,20.15,21.09
YB,2025-06-24,21.0,21.5,20.5267,21.0
YB,2025-06-25,21.12,21.58,20.9,20.99
YB,2025-06-26,21.39,21.42,20.985,21.24
YB,2025-06-27,21.2,22.3,20.4274,21.92
YB,2025-06-30,22.2,22.81,20.819,21.14
YB,2025-07-01,21.03,21.13,20.865,21.01
YB,2025-07-02,20.68,21.07,20.61,20.87
YB,2025-07-03,21.07,22.255,21.07,22.22
YB,2025-07-07,22.0,24.69,21.65,23.0
YB,2025-07-08,23.85,27.8897,23.56,27.06
YB,2025-07-09,27.12,30.87,25.995,30.85
YB,2025-07-10,29.81,31.0,28.01,29.67
YB,2025-07-11,28.59,28.59,28.15,28.59
YB,2025-07-14,28.3,30.8899,28.1,30.16
YB,2025-07-15,30.31,30.35,27.0,27.3
YB,2025-07-16,27.9962,28.67,24.9,24.95
YB,2025-07-17,25.0,26.755,24.99,26.45
YB,2025-07-18,27.01,28.31,27.0,27.47
YB,2025-07-21,27.47,27.47,25.75,26.11
YB,2025-07-22,26.0,27.0,25.51,26.97
YB,2025-07-23,26.68,29.96,26.68,29.21
YB,2025-07-24,29.2,30.16,26.66,29.97
YB,2025-07-25,29.21,29.8,26.9144,27.73
YB,2025-07-28,28.06,28.06,26.56,27.47
YB,2025-07-29,27.6393,28.0,26.9,27.31
YB,2025-07-30,26.8,27.795,26.68,27.31
YB,2025-07-31,27.155,27.29,26.65,27.0
YB,2025-08-01,26.865,26.865,25.2574,26.09
YB,2025-08-04,25.655,27.09,24.78,27.0
YB,2025-08-05,26.32,27.0,25.6337,26.85
YB,2025-08-06,26.42,28.5,25.85,28.34
YB,2025-08-07,27.9,28.5,26.43,27.11
YB,2025-08-08,27.0,27.25,25.5,26.16
YB,2025-08-11,26.66,26.91,25.44,25.74
YB,2025-08-12,26.06,26.7,25.26,26.39
YB,2025-08-13,27.0,28.9999,26.0,27.24
YB,2025-08-14,27.05,27.05,25.69,26.01
YB,2025-08-15,26.27,26.99,24.5301,26.33
YB,2025-08-18,26.66,26.66,25.4601,26.24
YB,2025-08-19,26.062,26.36,24.8,25.76
YB,2025-08-20,26.05,26.05,25.0,25.27
YB,2025-08-21,26.0,26.24,25.16,25.16
YB,2025-08-22,26.2,27.784,25.2725,27.125
YB,2025-08-25,28.5,30.33,27.9,29.43
YB,2025-08-26,29.89,30.5,28.8,29.92
YB,2025-08-27,29.0,30.0,26.0,26.32
YB,2025-08-28,26.16,26.16,23.0,23.305
YB,2025-08-29,23.97,24.855,21.6675,23.41
YB,2025-09-02,23.0,24.66,22.96,23.8
YB,2025-09-03,23.9,24.89,23.575,24.32
YB,2025-09-04,24.2452,24.47,22.49,22.61
YB,2025-09-05,23.0,24.25,22.7,23.85
YB,2025-09-08,23.87,24.015,23.0,23.38
YB,2025-09-09,23.59,23.6,23.0,23.59
YB,2025-09-10,23.84,24.7,23.64,24.53
YB,2025-09-11,24.58,25.985,24.13,25.52
YB,2025-09-12,25.97,25.98,24.86,25.36
YB,2025-09-15,25.1,25.1,23.54,23.56
YB,2025-09-16,24.56,24.56,23.875,24.5
YB,2025-09-17,24.7,25.325,23.7,23.9
YB,2025-09-18,23.04,24.395,23.04,23.89
YB,2025-09-19,24.25,24.39,23.17,23.56
YB,2025-09-22,23.51,23.51,22.23,22.25
YB,2025-09-23,22.33,22.99,21.52,21.67
YB,2025-09-24,21.94,22.0674,19.71,20.045
YB,2025-09-25,20.25,22.174,19.81,20.94
YB,2025-09-26,21.2,22.2,20.25,20.486
YB,2025-09-29,20.79,20.9799,19.94,20.05
YB,2025-09-30,21.05,21.05,19.52,19.62
YB,2025-10-01,19.8,19.8,18.51,18.92
