ticker,date,open,high,low,close
AMBR,2025-03-13,9.79,11.25,9.5,11.0
AMBR,2025-03-14,11.5,11.99,10.5,11.85
AMBR,2025-03-17,12.4,13.09,12.05,12.79
AMBR,2025-03-18,12.34,12.47,11.4,11.81
AMBR,2025-03-19,11.72,12.62,11.2,12.315
AMBR,2025-03-20,12.0,12.525,11.6,11.6
AMBR,2025-03-21,11.6697,12.55,11.6697,12.07
AMBR,2025-03-24,12.0642,12.7,11.83,12.25
AMBR,2025-03-25,11.8,12.3,11.513,12.1
AMBR,2025-03-26,12.18,12.33,11.85,12.02
AMBR,2025-03-27,11.63,12.5,11.63,12.05
AMBR,2025-03-28,11.93,12.6,11.93,12.04
AMBR,2025-03-31,11.65,12.0,11.37,11.98
AMBR,2025-04-01,11.9,11.95,10.13,11.38
AMBR,2025-04-02,11.1,11.59,10.6,11.29
AMBR,2025-04-03,11.1501,11.1501,10.2611,10.39
AMBR,2025-04-04,10.219,10.3,9.66,9.95
AMBR,2025-04-07,9.51,10.53,8.715,10.25
AMBR,2025-04-08,10.5674,10.99,10.14,10.225
AMBR,2025-04-09,10.23,10.6,9.5,10.54
AMBR,2025-04-10,10.4,10.4,9.81,10.4
AMBR,2025-04-11,10.5,10.5,9.81,10.47
AMBR,2025-04-14,10.5,10.5,9.95,10.28
AMBR,2025-04-15,10.2,10.4,9.94,10.25
AMBR,2025-04-16,10.1,10.5,10.1,10.5
AMBR,2025-04-17,10.8,11.0,10.23,11.0
AMBR,2025-04-21,10.5148,10.82,10.1,10.42
AMBR,2025-04-22,10.55,10.8,10.37,10.57
AMBR,2025-04-23,10.81,10.81,8.1,9.015
AMBR,2025-04-24,9.2,10.36,9.09,9.97
AMBR,2025-04-25,9.74,10.09,9.5,10.045
AMBR,2025-04-28,10.15,10.58,9.55,10.29
AMBR,2025-04-29,10.03,10.03,9.7,10.03
AMBR,2025-04-30,9.855,10.045,9.7,9.93
AMBR,2025-05-01,9.95,10.0,9.59,9.99
AMBR,2025-05-02,9.88,10.2,9.88,10.09
AMBR,2025-05-05,10.13,10.13,9.5,10.07
AMBR,2025-05-06,10.0,10.05,9.85,10.0
AMBR,2025-05-07,9.7,9.97,9.16,9.78
AMBR,2025-05-08,9.88,9.982,9.51,9.9
AMBR,2025-05-09,9.75,10.0,9.75,9.8
AMBR,2025-05-12,9.93,9.93,9.785,9.93
AMBR,2025-05-13,10.19,10.98,9.6,10.91
AMBR,2025-05-14,11.0,11.5539,10.48,11.33
AMBR,2025-05-15,11.59,11.59,10.35,11.07
AMBR,2025-05-16,10.81,10.985,10.43,10.53
AMBR,2025-05-19,10.53,10.89,9.94,10.59
AMBR,2025-05-20,10.518,10.7,9.5001,9.71
AMBR,2025-05-21,9.99,10.34,9.51,9.95
AMBR,2025-05-22,9.63,10.2,9.3,9.48
AMBR,2025-05-23,9.525,10.09,9.525,9.81
AMBR,2025-05-27,9.91,10.6999,9.5,9.88
AMBR,2025-05-28,9.68,9.93,8.19,8.2
AMBR,2025-05-29,8.64,10.29,8.64,9.52
AMBR,2025-05-30,9.42,9.98,9.2,9.305
AMBR,2025-06-02,9.3,9.88,9.2,9.21
AMBR,2025-06-03,9.3,9.79,9.3,9.61
AMBR,2025-06-04,9.8,10.47,9.6,10.4
AMBR,2025-06-05,10.55,11.28,9.23,9.75
AMBR,2025-06-06,10.38,10.38,9.5,9.73
AMBR,2025-06-09,10.07,10.5,9.67,10.49
AMBR,2025-06-10,10.675,10.675,9.95,10.28
AMBR,2025-06-11,10.48,11.0,10.25,10.72
AMBR,2025-06-12,10.5,11.37,10.5,11.37
AMBR,2025-06-13,11.17,11.88,11.17,11.79
AMBR,2025-06-16,11.99,12.84,11.815,12.47
AMBR,2025-06-17,12.4,12.66,11.54,11.73
AMBR,2025-06-18,11.64,12.26,11.51,11.97
AMBR,2025-06-20,11.65,12.35,11.0,12.0
