ticker,date,open,high,low,close
BACC,2025-08-04,10.04,10.04,9.95,9.95
BACC,2025-08-05,9.9658,9.9667,9.955,9.965
BACC,2025-08-06,9.96,9.965,9.96,9.96
BACC,2025-08-07,9.97,9.97,9.96,9.96
BACC,2025-08-08,9.96,9.965,9.9599,9.965
BACC,2025-08-11,9.97,9.975,9.97,9.975
BACC,2025-08-12,9.98,9.98,9.97,9.975
BACC,2025-08-13,9.98,9.98,9.97,9.97
BACC,2025-08-14,9.97,9.98,9.97,9.97
BACC,2025-08-15,9.975,9.975,9.975,9.975
BACC,2025-08-18,10.0,10.0,9.97,9.97
BACC,2025-08-19,9.9999,10.0,9.99,10.0
BACC,2025-08-20,9.99,9.99,9.99,9.99
BACC,2025-08-21,9.9886,10.005,9.985,9.99
BACC,2025-08-22,9.9801,9.9899,9.98,9.98
BACC,2025-08-25,9.98,9.985,9.97,9.97
BACC,2025-08-26,9.97,9.9736,9.96,9.965
BACC,2025-08-27,9.97,9.97,9.96,9.96
BACC,2025-08-28,9.96,9.96,9.96,9.96
BACC,2025-08-29,9.9525,9.955,9.95,9.95
BACC,2025-09-02,9.96,9.96,9.9512,9.9512
BACC,2025-09-04,9.96,9.96,9.96,9.96
BACC,2025-09-05,9.96,9.98,9.96,9.98
BACC,2025-09-08,9.98,9.98,9.975,9.975
BACC,2025-09-09,9.97,9.99,9.96,9.98
BACC,2025-09-10,9.97,9.97,9.97,9.97
BACC,2025-09-11,9.97,9.97,9.97,9.97
BACC,2025-09-12,9.99,9.99,9.99,9.99
BACC,2025-09-15,9.99,9.99,9.9799,9.99
BACC,2025-09-16,9.99,9.99,9.98,9.99
BACC,2025-09-17,9.99,9.99,9.99,9.99
BACC,2025-09-18,9.99,9.99,9.98,9.98
BACC,2025-09-19,9.97,9.98,9.97,9.98
BACC,2025-09-22,9.99,9.99,9.99,9.99
BACC,2025-09-23,9.99,9.99,9.9893,9.99
BACC,2025-09-24,9.99,9.995,9.989,9.995
BACC,2025-09-25,10.0,10.0,10.0,10.0
BACC,2025-09-26,10.0,10.0,10.0,10.0
BACC,2025-09-29,10.0,10.0,10.0,10.0
BACC,2025-09-30,10.0,10.0,9.995,9.995
BACC,2025-10-01,10.0,10.0,10.0,10.0
