ticker,date,open,high,low,close
CYCU,2025-02-18,10.99,10.99,3.15,3.35
CYCU,2025-02-19,4.72,4.9,2.82,2.97
CYCU,2025-02-20,2.38,2.49,1.525,1.61
CYCU,2025-02-21,1.35,1.44,1.21,1.34
CYCU,2025-02-24,1.25,1.3,0.95,0.9653
CYCU,2025-02-25,0.8911,0.8999,0.7052,0.8948
CYCU,2025-02-26,0.778,0.84,0.7522,0.7884
CYCU,2025-02-27,0.8105,0.8105,0.69,0.7239
CYCU,2025-02-28,0.7276,0.8599,0.702,0.775
CYCU,2025-03-03,0.755,0.765,0.59,0.6011
CYCU,2025-03-04,0.7011,0.8637,0.6023,0.6514
CYCU,2025-03-05,0.8692,0.97649,0.72901,0.7673
CYCU,2025-03-06,0.76,0.8,0.6652,0.6828
CYCU,2025-03-07,0.6525,0.6764,0.6,0.6355
CYCU,2025-03-10,0.62,0.63285,0.56,0.5636
CYCU,2025-03-11,0.6,0.6225,0.5595,0.5735
CYCU,2025-03-12,0.5653,0.571,0.5213,0.5418
CYCU,2025-03-13,0.5262,0.5347,0.5102,0.5189
CYCU,2025-03-14,0.5198,0.5599,0.5025,0.538
CYCU,2025-03-17,0.5272,0.56,0.5272,0.5421
CYCU,2025-03-18,0.5495,0.5495,0.5411,0.5495
CYCU,2025-03-19,0.5898,0.64,0.57,0.6146
CYCU,2025-03-20,0.6551,0.775,0.6411,0.73
CYCU,2025-03-21,0.6869,0.7457,0.6648,0.69
CYCU,2025-03-24,0.6994,0.7089,0.635,0.6579
CYCU,2025-03-25,0.66,0.68,0.6,0.6116
CYCU,2025-03-26,0.6099,0.6112,0.5402,0.56
CYCU,2025-03-27,0.5506,0.588,0.546,0.559
CYCU,2025-03-28,0.5512,0.5587,0.4815,0.5009
CYCU,2025-03-31,0.49,0.5034,0.4591,0.495
CYCU,2025-04-01,0.5003,0.5199,0.476,0.4999
CYCU,2025-04-02,0.54,0.6048,0.501,0.5024
CYCU,2025-04-03,0.49,0.55,0.4722,0.504
CYCU,2025-04-04,0.485,0.5219,0.475,0.516
CYCU,2025-04-07,0.46,0.4745,0.4207,0.4449
CYCU,2025-04-08,0.5991,0.7147,0.47,0.4994
CYCU,2025-04-09,0.4566,0.5096,0.4444,0.49
CYCU,2025-04-10,0.4731,0.527,0.4731,0.52
CYCU,2025-04-11,0.5,0.5177,0.484,0.4955
CYCU,2025-04-14,0.4842,0.5275,0.4842,0.5081
CYCU,2025-04-15,0.49,0.5058,0.4522,0.4772
CYCU,2025-04-16,0.4161,0.4161,0.4159,0.4161
CYCU,2025-04-17,0.5236,0.5269,0.4251,0.43
CYCU,2025-04-21,0.451,0.46,0.41901,0.4396
CYCU,2025-04-22,0.44,0.4761,0.428,0.4613
CYCU,2025-04-23,0.47,0.4928,0.47,0.4866
CYCU,2025-04-24,0.4822,0.5,0.4776,0.48
CYCU,2025-04-25,0.483,0.483,0.4494,0.473
CYCU,2025-04-28,0.47,0.4701,0.432,0.45509
CYCU,2025-04-29,0.4869,0.487,0.4322,0.4336
CYCU,2025-04-30,0.45,0.4589,0.435,0.4498
CYCU,2025-05-01,0.45,0.458,0.4378,0.4424
CYCU,2025-05-02,0.4395,0.4689,0.4395,0.4571
CYCU,2025-05-05,0.4632,0.46972,0.4531,0.46
CYCU,2025-05-06,0.4582,0.46,0.4455,0.4513
CYCU,2025-05-07,0.45,0.45,0.4198,0.4256
CYCU,2025-05-08,0.42,0.4409,0.4133,0.435
CYCU,2025-05-09,0.4453,0.4748,0.443413,0.4571
CYCU,2025-05-12,0.477,0.4925,0.456,0.4823
CYCU,2025-05-13,0.4991,0.5093,0.446,0.4816
CYCU,2025-05-14,0.4701,0.47805,0.457,0.475
CYCU,2025-05-15,0.4483,0.4699,0.44,0.4413
CYCU,2025-05-16,0.4698,0.5,0.445,0.4774
CYCU,2025-05-19,0.4601,0.48,0.45,0.4761
CYCU,2025-05-20,0.4775,0.522,0.47,0.5044
CYCU,2025-05-21,0.5,0.5154,0.4751,0.4829
CYCU,2025-05-22,0.48,0.4905,0.46,0.4638
CYCU,2025-05-23,0.4613,0.47,0.4201,0.4296
CYCU,2025-05-27,0.4396,0.4484,0.425699,0.4305
CYCU,2025-05-28,0.4333,0.4697,0.431,0.4499
CYCU,2025-05-29,0.4595,0.488,0.4449,0.4449
CYCU,2025-05-30,0.42,0.444899,0.4128,0.4251
CYCU,2025-06-02,0.43,0.436299,0.413,0.4151
CYCU,2025-06-03,0.4171,0.42,0.26,0.387
CYCU,2025-06-04,0.394,0.4185,0.3821,0.415
CYCU,2025-06-05,0.42,0.51,0.4078,0.48
CYCU,2025-06-06,0.43,0.4565,0.39,0.4113
CYCU,2025-06-09,0.4136,0.4225,0.392,0.4058
CYCU,2025-06-10,0.405,0.4069,0.3829,0.398
CYCU,2025-06-11,0.3982,0.4296,0.3874,0.4266
CYCU,2025-06-12,0.42,0.4232,0.3951,0.4009
CYCU,2025-06-13,0.39,0.39,0.369099,0.375
CYCU,2025-06-16,0.3912,0.4152,0.3858,0.3927
CYCU,2025-06-17,0.398,0.4043,0.39,0.3956
CYCU,2025-06-18,0.386,0.4,0.372,0.378
CYCU,2025-06-20,0.38,0.382,0.3556,0.3556
CYCU,2025-06-23,0.35,0.3649,0.35,0.3516
CYCU,2025-06-24,0.3511,0.4088,0.3511,0.398
CYCU,2025-06-25,0.398,0.398,0.3573,0.3573
CYCU,2025-06-26,0.3713,0.3713,0.355,0.355
CYCU,2025-06-27,0.37,0.3716,0.3399,0.3452
CYCU,2025-06-30,0.3469,0.3719,0.3469,0.3498
CYCU,2025-07-01,0.369,0.3699,0.35,0.3599
CYCU,2025-07-02,0.36,0.3746,0.3506,0.358
CYCU,2025-07-03,0.3622,0.3685,0.3563,0.36
CYCU,2025-07-07,0.3606,0.37,0.3563,0.365
CYCU,2025-07-08,0.38,0.3997,0.366,0.39
CYCU,2025-07-09,0.3997,0.4178,0.3813,0.382
CYCU,2025-07-10,0.387,0.4859,0.382363,0.4049
CYCU,2025-07-11,0.3816,0.3816,0.3801,0.3816
CYCU,2025-07-14,0.389,0.396499,0.365,0.375
CYCU,2025-07-15,0.37,0.396,0.345,0.3465
CYCU,2025-07-16,0.368,0.3698,0.347,0.3582
CYCU,2025-07-17,0.36,0.4298,0.3505,0.3954
CYCU,2025-07-18,0.3851,0.399,0.38,0.3822
CYCU,2025-07-21,0.3946,0.4,0.379,0.3806
CYCU,2025-07-22,0.385,0.399,0.3828,0.399
CYCU,2025-07-23,0.3919,0.4048,0.3806,0.3931
CYCU,2025-07-24,0.3929,0.4189,0.392,0.392
CYCU,2025-07-25,0.3956,0.3965,0.3756,0.3932
CYCU,2025-07-28,0.3973,0.4,0.3806,0.3845
CYCU,2025-07-29,0.3895,0.3895,0.3665,0.3678
CYCU,2025-07-30,0.365,0.376199,0.36,0.37
CYCU,2025-07-31,0.382,0.3824,0.3602,0.3602
CYCU,2025-08-01,0.3629,0.3661,0.35,0.35
CYCU,2025-08-04,0.3673,0.3673,0.3357,0.3598
CYCU,2025-08-05,0.3621,0.3675,0.3403,0.3501
CYCU,2025-08-06,0.3499,0.3525,0.3364,0.3398
CYCU,2025-08-07,0.36,0.3886,0.3505,0.36
CYCU,2025-08-08,0.3709,0.3872,0.362,0.3622
CYCU,2025-08-11,0.351,0.368799,0.3403,0.3517
CYCU,2025-08-12,0.351,0.41,0.351,0.3969
CYCU,2025-08-13,0.3898,0.39,0.361,0.3887
CYCU,2025-08-14,0.34,0.34,0.269208,0.2849
CYCU,2025-08-15,0.28,0.297,0.2735,0.2753
CYCU,2025-08-18,0.298,0.316,0.2868,0.3061
CYCU,2025-08-19,0.2999,0.2999,0.275,0.285
CYCU,2025-08-20,0.288,0.288,0.2711,0.2772
CYCU,2025-08-21,0.29,0.2959,0.2424,0.2593
CYCU,2025-08-22,0.3839,0.4077,0.3111,0.318
CYCU,2025-08-25,0.2895,0.3028,0.275,0.2793
CYCU,2025-08-26,0.2773,0.2884,0.2755,0.2815
CYCU,2025-08-27,0.2769,0.280002,0.2707,0.275
CYCU,2025-08-28,0.278,0.2849,0.25,0.2574
CYCU,2025-08-29,0.21,0.2219,0.185,0.2001
CYCU,2025-09-02,0.2325,0.2621,0.2155,0.2417
CYCU,2025-09-03,0.2272,0.231,0.2071,0.208
CYCU,2025-09-04,0.1938,0.2079,0.19,0.193
CYCU,2025-09-05,0.2,0.2,0.1789,0.1802
CYCU,2025-09-08,0.1794,0.1862,0.168,0.186
CYCU,2025-09-09,0.1844,0.2149,0.178,0.2075
CYCU,2025-09-10,0.2,0.2123,0.195,0.1982
CYCU,2025-09-11,0.1968,0.2119,0.1914,0.2089
CYCU,2025-09-12,0.2115,0.2197,0.1987,0.1991
CYCU,2025-09-15,0.2,0.2124,0.199,0.2062
CYCU,2025-09-16,0.205,0.205,0.195,0.2021
CYCU,2025-09-17,0.2035,0.2047,0.1926,0.1969
CYCU,2025-09-18,0.214,0.25125,0.1973,0.2438
CYCU,2025-09-19,0.2675,0.2675,0.2078,0.214
CYCU,2025-09-22,0.2163,0.2457,0.2071,0.2423
CYCU,2025-09-23,0.233,0.2812,0.233,0.265
CYCU,2025-09-24,0.3159,0.3588,0.2655,0.2884
CYCU,2025-09-25,0.33,0.5387,0.2902,0.4858
CYCU,2025-09-26,0.45,0.4677,0.3222,0.3369
CYCU,2025-09-29,0.2858,0.5243,0.2751,0.4684
CYCU,2025-09-30,0.4327,0.4564,0.3531,0.3842
CYCU,2025-10-01,0.43,0.439,0.371,0.3895
