ticker,date,open,high,low,close
CRDO,2022-01-27,12.1,12.5,10.8,11.65
CRDO,2022-01-28,11.64,12.325,11.05,11.19
CRDO,2022-01-31,11.44,12.4899,11.2,12.12
CRDO,2022-02-01,12.12,13.7,11.8201,12.8
CRDO,2022-02-02,13.09,13.415,12.8,13.4
CRDO,2022-02-03,13.22,13.29,12.4,12.82
CRDO,2022-02-04,12.87,13.75,12.87,13.07
CRDO,2022-02-07,13.39,13.75,13.13,13.52
CRDO,2022-02-08,13.57,14.1199,13.52,13.94
CRDO,2022-02-09,14.12,15.37,14.12,14.64
CRDO,2022-02-10,14.74,15.6285,14.7,15.19
CRDO,2022-02-11,15.3,16.39,15.011,15.3
CRDO,2022-02-14,14.1787,15.67,14.1787,14.86
CRDO,2022-02-15,14.79,15.39,14.79,14.99
CRDO,2022-02-16,15.0,15.39,14.31,15.07
CRDO,2022-02-17,14.99,15.4,14.88,15.12
CRDO,2022-02-18,15.0,15.45,14.521,15.2
CRDO,2022-02-22,15.73,16.0,15.25,15.62
CRDO,2022-02-23,15.85,16.27,15.08,15.12
CRDO,2022-02-24,14.58,15.01,13.9632,14.93
CRDO,2022-02-25,15.03,15.53,15.0,15.33
CRDO,2022-02-28,15.23,16.96,15.01,16.9
CRDO,2022-03-01,16.8,16.8,15.06,15.22
CRDO,2022-03-02,16.0,16.6,16.0,16.36
CRDO,2022-03-03,17.1,18.0,16.04,16.1
CRDO,2022-03-04,15.96,16.54,15.085,15.66
CRDO,2022-03-07,15.6,16.28,15.4401,15.86
CRDO,2022-03-08,15.84,16.26,14.81,15.73
CRDO,2022-03-09,16.04,16.58,15.38,16.44
CRDO,2022-03-10,16.91,16.95,15.82,16.16
CRDO,2022-03-11,16.2,16.2,14.9,15.51
CRDO,2022-03-14,15.55,15.715,12.83,13.67
CRDO,2022-03-15,13.74,14.455,13.33,14.3
CRDO,2022-03-16,14.42,15.11,14.22,14.63
CRDO,2022-03-17,14.54,15.06,13.53,14.12
CRDO,2022-03-18,13.56,14.56,13.51,13.69
CRDO,2022-03-21,13.67,14.17,12.53,12.76
CRDO,2022-03-22,13.41,13.64,12.645,13.31
CRDO,2022-03-23,13.18,13.48,12.81,13.42
CRDO,2022-03-24,13.41,14.61,13.15,14.49
CRDO,2022-03-25,14.43,14.6,14.03,14.47
CRDO,2022-03-28,14.3,14.46,14.19,14.3
CRDO,2022-03-29,14.45,15.54,14.45,15.33
CRDO,2022-03-30,15.18,15.535,14.945,15.3
CRDO,2022-03-31,15.25,15.88,14.87,15.23
CRDO,2022-04-01,15.23,15.67,13.76,14.42
CRDO,2022-04-04,14.39,15.03,14.1,14.62
CRDO,2022-04-05,14.53,14.95,13.905,14.1
CRDO,2022-04-06,13.93,14.25,13.52,14.05
CRDO,2022-04-07,13.92,14.05,13.33,13.56
CRDO,2022-04-08,13.43,13.65,12.95,13.44
CRDO,2022-04-11,13.2,13.43,12.77,12.93
CRDO,2022-04-12,13.18,13.45,12.68,12.77
CRDO,2022-04-13,12.78,12.78,11.52,12.09
CRDO,2022-04-14,12.09,12.28,11.215,11.41
CRDO,2022-04-18,11.27,11.56,11.12,11.38
CRDO,2022-04-19,11.31,11.74,11.04,11.72
CRDO,2022-04-20,11.8,11.92,11.38,11.41
CRDO,2022-04-21,11.31,11.65,10.945,11.16
CRDO,2022-04-22,11.1,11.44,10.98,11.18
CRDO,2022-04-25,10.925,11.61,10.78,11.57
CRDO,2022-04-26,11.47,11.5,11.14,11.18
CRDO,2022-04-27,11.05,11.31,10.8,10.81
CRDO,2022-04-28,10.9,11.4,10.43,11.19
CRDO,2022-04-29,11.16,11.51,10.81,11.04
CRDO,2022-05-02,10.97,11.3,10.82,11.22
CRDO,2022-05-03,11.26,11.53,11.0,11.42
CRDO,2022-05-04,11.5,11.61,10.88,11.58
CRDO,2022-05-05,11.49,11.57,10.85,11.1
CRDO,2022-05-06,11.01,11.12,10.44,10.71
CRDO,2022-05-09,10.54,10.59,9.64,9.74
CRDO,2022-05-10,9.88,10.0293,9.08,9.42
CRDO,2022-05-11,9.37,9.49,8.78,8.8
CRDO,2022-05-12,8.68,9.47,8.61,9.46
CRDO,2022-05-13,9.66,10.43,9.63,10.13
CRDO,2022-05-16,10.04,10.14,9.77,9.8
CRDO,2022-05-17,10.05,10.105,9.81,10.06
CRDO,2022-05-18,9.86,10.14,9.72,9.82
CRDO,2022-05-19,9.83,10.165,9.7,9.86
CRDO,2022-05-20,10.06,10.15,9.51,9.7
CRDO,2022-05-23,9.82,10.0,9.65,10.0
CRDO,2022-05-24,9.98,10.06,9.54,9.93
CRDO,2022-05-25,9.82,10.1,9.8,10.01
CRDO,2022-05-26,9.92,10.24,9.6,10.16
CRDO,2022-05-27,10.3,10.55,10.23,10.51
CRDO,2022-05-31,10.58,10.99,10.01,10.23
CRDO,2022-06-01,10.23,10.34,9.93,10.25
CRDO,2022-06-02,11.5,13.4,11.5,12.94
CRDO,2022-06-03,13.04,13.09,12.39,12.91
CRDO,2022-06-06,13.0,13.49,12.68,12.74
CRDO,2022-06-07,12.53,13.69,12.45,13.65
CRDO,2022-06-08,13.61,13.92,13.32,13.42
CRDO,2022-06-09,13.24,13.36,12.54,12.67
CRDO,2022-06-10,12.55,12.6,12.23,12.43
CRDO,2022-06-13,11.99,12.085,11.63,11.96
CRDO,2022-06-14,12.1,12.66,11.9,12.6
CRDO,2022-06-15,12.8,13.05,12.39,12.7
CRDO,2022-06-16,12.42,12.49,11.73,11.8
CRDO,2022-06-17,11.94,12.7,11.74,12.52
CRDO,2022-06-21,12.67,13.62,12.67,13.29
CRDO,2022-06-22,13.02,13.41,12.75,12.88
CRDO,2022-06-23,12.86,13.0399,12.215,12.36
CRDO,2022-06-24,12.47,12.9499,12.47,12.74
CRDO,2022-06-27,12.69,13.9,11.6,11.84
CRDO,2022-06-28,11.68,12.16,11.21,11.89
CRDO,2022-06-29,11.76,11.95,11.14,11.57
CRDO,2022-06-30,11.36,11.69,11.02,11.68
CRDO,2022-07-01,11.6,11.9,11.055,11.29
CRDO,2022-07-05,11.11,11.52,10.75,11.48
CRDO,2022-07-06,11.49,11.49,10.76,10.96
CRDO,2022-07-07,11.1,12.06,11.08,11.96
CRDO,2022-07-08,11.91,12.04,11.59,11.9
CRDO,2022-07-11,11.83,11.86,11.12,11.17
CRDO,2022-07-12,11.19,11.615,11.09,11.21
CRDO,2022-07-13,11.01,11.15,10.7108,10.77
CRDO,2022-07-14,10.69,10.9,10.3404,10.81
CRDO,2022-07-15,11.04,11.21,10.73,11.05
CRDO,2022-07-18,11.21,11.54,10.87,11.04
CRDO,2022-07-19,11.11,11.88,10.84,11.86
CRDO,2022-07-20,11.83,12.33,11.45,12.01
CRDO,2022-07-21,12.09,12.11,11.68,11.95
CRDO,2022-07-22,11.93,11.93,11.17,11.27
CRDO,2022-07-25,11.35,11.775,10.95,11.66
CRDO,2022-07-26,11.66,12.73,11.585,12.6
CRDO,2022-07-27,12.67,14.39,12.51,13.89
CRDO,2022-07-28,13.96,15.25,13.66,15.21
CRDO,2022-07-29,15.31,16.17,15.07,16.05
CRDO,2022-08-01,15.01,15.6,14.08,14.84
CRDO,2022-08-02,14.66,15.88,14.34,15.25
CRDO,2022-08-03,15.51,16.2,15.51,16.0
CRDO,2022-08-04,16.0,17.32,15.7501,16.29
CRDO,2022-08-05,16.02,16.34,15.9,16.01
CRDO,2022-08-08,16.05,16.1,15.63,15.79
CRDO,2022-08-09,15.655,15.78,14.99,15.65
CRDO,2022-08-10,15.9,16.3,15.43,16.16
CRDO,2022-08-11,16.28,16.31,14.61,14.84
CRDO,2022-08-12,14.82,15.47,14.7706,15.46
CRDO,2022-08-15,15.41,15.45,14.84,14.92
CRDO,2022-08-16,14.78,15.085,14.3,14.89
CRDO,2022-08-17,14.81,15.32,14.52,15.3
CRDO,2022-08-18,15.3,15.66,14.9201,15.66
CRDO,2022-08-19,15.45,15.575,14.44,14.6
CRDO,2022-08-22,14.39,14.9,13.81,14.84
CRDO,2022-08-23,14.81,14.97,14.34,14.5
CRDO,2022-08-24,14.48,14.96,14.29,14.86
